Category ID
toplists
at_home
regional_mexican
music_of_mexico
wellness
pop
workout
family
summer
latin
chill
indie_alt
metal
rock
hiphop
edm_dance
party
dinner
gaming
inspirational
mood
focus
pride
kpop
j_tracks
thirdparty
romance
decades
sleep
soul
blackhistorymonth
roots
anime
popculture
jazz
classical
sessions
punk
rnb
reggae
blues
funk
travel
colombian
brazilian
desi
afro
arab
french_variety
student
