Category ID
toplists
hiphop
summer
play_your_part
pop
country
workout
rock
latin
mood
rnb
blackhistorymonth
gaming
focus
edm_dance
chill
at_home
indie_alt
inspirational
decades
soul
indie_alt
classical
family
latin
reggae
blues
funk
punk
country
roots
desi
arab
afro
travel
kpop
