,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,popularity,explicit
0,0.8190000000000001,0.736,7,-3.373,1,0.0912,0.20199999999999999,0.0,0.22399999999999998,0.622,92.056,1L9UBn6F0iY4HZeeH4teDZ,203632,4,76,False
1,0.718,0.7120000000000001,11,-4.3660000000000005,1,0.174,0.512,0.00121,0.10400000000000001,0.531,180.03400000000002,7x4ASXYEKfQBCewcZhK776,189653,4,93,False
2,0.787,0.728,6,-3.455,0,0.389,0.18899999999999997,2.2899999999999998e-05,0.0629,0.545,180.06599999999997,4uoR6qeWeuL4Qeu2qJzkuG,200198,4,96,False
3,0.5710000000000001,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.17300000000000001,0.39299999999999996,168.169,0EhpEsp4L0oRGM0vmeaN5e,232253,4,94,False
4,0.845,0.677,11,-4.798,0,0.136,0.26899999999999996,0.000917,0.10800000000000001,0.68,90.01299999999999,4HYDUMY0xSpeBr0AMY9cUz,219048,4,93,False
5,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,5cpJFiNwYyWwFLH0V6B3N8,214507,4,82,True
6,0.7929999999999999,0.7709999999999999,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.94299999999998,35UUpTmrcFXNIVIN26ujXl,247308,4,88,False
7,0.7909999999999999,0.682,5,-7.327999999999999,1,0.158,0.175,0.0,0.0926,0.672,98.031,6AzKhCHOms83jvNVLsz0Bt,166851,4,90,False
8,0.815,0.715,4,-4.65,0,0.207,0.3,4.83e-06,0.091,0.7859999999999999,176.007,1mohfLaTJtB2RplHLQVM70,345241,4,91,True
9,0.728,0.8059999999999999,6,-3.766,1,0.0623,0.0531,0.000301,0.153,0.698,168.084,3gD4J3RUHy4OUuZ3qAiaiG,217547,4,92,False
10,0.785,0.847,6,-3.182,0,0.0904,0.083,0.0,0.10099999999999999,0.932,93.024,2pI0OyprOJssVYlqx9ZO3t,193187,4,81,False
11,0.848,0.637,9,-5.132000000000001,1,0.156,0.0413,0.0,0.0521,0.698,96.988,4ZRrLHqzhGRXYj2qcB4s5S,222680,4,93,False
12,0.76,0.6579999999999999,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.20200000000001,1pqnQ41XbfKjaFu6M0eGJp,157944,4,92,False
13,0.691,0.765,8,-4.727,1,0.111,0.46399999999999997,3.29e-06,0.203,0.855,174.021,06s3QtMJVXw1AJX3UfvZG1,246000,4,88,True
14,0.7340000000000001,0.775,8,-3.855,1,0.0614,0.18600000000000003,0.000542,0.12300000000000001,0.72,166.03900000000002,0JAZWvvqttGFm4UMDsPQXC,224187,4,77,False
15,0.66,0.503,9,-5.501,1,0.34,0.131,0.0,0.13,0.396,175.896,5cBrOhKDyiJF9bPGUHKkG0,161748,4,84,False
16,0.8540000000000001,0.525,1,-4.426,1,0.214,0.8190000000000001,0.0,0.146,0.63,97.054,6fmQjRuo7XvRFCK2qex5hQ,197587,4,88,False
17,0.7859999999999999,0.8109999999999999,8,-4.31,1,0.0836,0.122,3.99e-06,0.161,0.731,92.95299999999999,0j1VxrPkMyFGvz0jZzxUoZ,168052,4,83,False
18,0.6940000000000001,0.7959999999999999,6,-4.164,1,0.0565,0.48,0.000384,0.10800000000000001,0.515,93.064,6yVkakCN460KOVol9ZazjH,212312,4,85,True
19,0.807,0.6559999999999999,3,-4.395,0,0.105,0.0165,0.0,0.0693,0.89,83.943,3GtnId3Cm1Xa6joCj08nzW,185840,4,84,True
20,0.782,0.706,7,-4.337,0,0.19,0.0941,0.00020800000000000001,0.115,0.855,173.899,2btKz4s1XrMn5VHe7xZJpi,212907,4,79,True
21,0.752,0.716,10,-5.2,0,0.0325,0.254,0.0,0.243,0.5529999999999999,117.007,6C6mUonH6MNdSg5pw7kOc9,206760,4,88,True
22,0.7929999999999999,0.782,4,-3.945,1,0.0582,0.447,0.0,0.124,0.81,143.86,34LI7rwi9H8w2S5KTHnv1M,191945,4,85,False
23,0.684,0.8079999999999999,0,-2.737,1,0.061,0.0518,1.0199999999999999e-05,0.0858,0.7120000000000001,173.905,4K8cyoCDovlc4FvtUr2Hfx,174027,4,79,False
24,0.659,0.701,9,-4.107,1,0.16399999999999998,0.0882,0.0,0.0866,0.623,91.97,15OjBeqNX3bShsGYQbteRv,180520,4,85,False
25,0.483,0.49200000000000005,0,-6.591,0,0.295,0.603,0.0,0.32299999999999995,0.66,144.511,5EbtodsuLbxrFDH6j5avVS,188213,4,86,False
26,0.785,0.74,1,-5.374,1,0.172,0.0205,8.28e-05,0.22,0.746,100.057,4cno0k9jDEFpLAQyHNjqVx,166265,4,79,False
27,0.621,0.9179999999999999,1,-3.01,0,0.0552,0.0754,0.0,0.13,0.8340000000000001,151.988,00QBHaaP4KUcjlmxWriMbC,205031,4,77,False
28,0.691,0.7390000000000001,5,-3.09,0,0.22899999999999998,0.42200000000000004,3.95e-06,0.11,0.884,83.897,4RJz8NfIe09gpKMiRUWKhJ,248345,4,85,False
29,0.722,0.757,0,-3.592,0,0.0782,0.17,1.31e-05,0.0657,0.763,167.987,5kbps8unnGH4raN5WduZuq,202308,4,79,False
30,0.565,0.7809999999999999,10,-3.358,0,0.061,0.364,0.0,0.0984,0.943,129.959,5kQre7o8ky5DXeEPcyaCR1,192698,4,82,False
31,0.66,0.693,3,-4.773,0,0.18899999999999997,0.0522,0.0,0.153,0.8140000000000001,167.07,6uo9cHjtDSQcfKNaUYHAWZ,176267,4,74,False
32,0.898,0.677,11,-4.6080000000000005,0,0.127,0.132,0.0,0.132,0.958,143.91299999999998,3KvK89jd2onVdthF4hZNN4,202483,4,76,False
